Lectura analógica,Tiempo
332.0,0.0
350.0,0.0
352.0,0.0
352.0,0.0
356.0,0.0
350.0,0.0
351.0,0.0
352.0,0.0
323.0,0.0
333.0,0.0
335.0,0.0
336.0,0.0
332.0,0.0
332.0,0.0
333.0,0.0
335.0,0.0
342.0,0.0
358.0,0.0
359.0,0.0
359.0,0.0
331.0,0.0
346.0,0.0
347.0,0.0
349.0,0.0
326.0,0.0
336.0,0.0
337.0,0.0
339.0,0.0
327.0,0.0
338.0,0.0
340.0,0.0
342.0,0.0
298.0,21.0
305.0,21.0
307.0,21.0
310.0,21.0
315.0,21.0
308.0,21.0
309.0,21.0
312.0,21.0
291.0,21.0
295.0,21.0
296.0,21.0
298.0,21.0
299.0,21.0
295.0,21.0
296.0,21.0
299.0,21.0
309.0,21.0
315.0,21.0
316.0,21.0
318.0,21.0
295.0,21.0
308.0,21.0
309.0,21.0
311.0,21.0
303.0,21.0
302.0,21.0
302.0,21.0
305.0,21.0
301.0,21.0
301.0,21.0
302.0,21.0
305.0,21.0
277.0,43.0
280.0,43.0
282.0,43.0
285.0,43.0
291.0,43.0
284.0,43.0
285.0,43.0
287.0,43.0
271.0,43.0
271.0,43.0
272.0,43.0
275.0,43.0
277.0,43.0
273.0,43.0
273.0,43.0
277.0,43.0
289.0,43.0
290.0,43.0
291.0,43.0
294.0,43.0
273.0,43.0
285.0,43.0
286.0,43.0
290.0,43.0
287.0,43.0
280.0,43.0
282.0,43.0
285.0,43.0
285.0,43.0
280.0,43.0
281.0,43.0
283.0,43.0
262.0,65.0
264.0,65.0
265.0,65.0
269.0,65.0
275.0,65.0
267.0,65.0
268.0,65.0
273.0,65.0
257.0,65.0
256.0,65.0
256.0,65.0
261.0,65.0
263.0,65.0
260.0,65.0
260.0,65.0
264.0,65.0
275.0,65.0
274.0,65.0
275.0,65.0
278.0,65.0
257.0,65.0
269.0,65.0
271.0,65.0
273.0,65.0
273.0,65.0
264.0,65.0
264.0,65.0
268.0,65.0
270.0,65.0
262.0,65.0
263.0,65.0
267.0,65.0
253.0,87.0
252.0,87.0
254.0,87.0
257.0,87.0
263.0,87.0
255.0,87.0
256.0,87.0
259.0,87.0
244.0,87.0
242.0,87.0
243.0,87.0
246.0,87.0
250.0,87.0
245.0,87.0
246.0,87.0
250.0,87.0
263.0,87.0
260.0,87.0
261.0,87.0
264.0,87.0
244.0,87.0
256.0,87.0
258.0,87.0
262.0,87.0
262.0,87.0
252.0,87.0
253.0,87.0
255.0,87.0
260.0,87.0
250.0,87.0
251.0,87.0
254.0,87.0
242.0,109.0
242.0,109.0
244.0,109.0
247.0,109.0
253.0,109.0
243.0,109.0
244.0,109.0
248.0,109.0
234.0,109.0
230.0,109.0
232.0,109.0
236.0,109.0
240.0,109.0
235.0,109.0
236.0,109.0
240.0,109.0
254.0,109.0
251.0,109.0
251.0,109.0
255.0,109.0
234.0,109.0
248.0,109.0
249.0,109.0
252.0,109.0
254.0,109.0
242.0,109.0
243.0,109.0
247.0,109.0
252.0,109.0
240.0,109.0
241.0,109.0
245.0,109.0
234.0,132.0
233.0,132.0
234.0,132.0
239.0,132.0
245.0,132.0
235.0,132.0
236.0,132.0
240.0,132.0
226.0,132.0
222.0,132.0
224.0,132.0
227.0,132.0
234.0,132.0
229.0,132.0
229.0,132.0
234.0,132.0
248.0,132.0
244.0,132.0
245.0,132.0
249.0,132.0
226.0,132.0
241.0,132.0
242.0,132.0
246.0,132.0
247.0,132.0
235.0,132.0
235.0,132.0
239.0,132.0
245.0,132.0
232.0,132.0
233.0,132.0
237.0,132.0
230.0,153.0
228.0,153.0
230.0,153.0
234.0,153.0
240.0,153.0
230.0,153.0
230.0,153.0
235.0,153.0
219.0,153.0
216.0,153.0
216.0,153.0
221.0,153.0
227.0,153.0
221.0,153.0
222.0,153.0
226.0,153.0
242.0,153.0
237.0,153.0
238.0,153.0
242.0,153.0
219.0,153.0
233.0,153.0
235.0,153.0
238.0,153.0
239.0,153.0
228.0,153.0
229.0,153.0
233.0,153.0
240.0,153.0
226.0,153.0
227.0,153.0
231.0,153.0
223.0,176.0
222.0,176.0
223.0,176.0
227.0,176.0
234.0,176.0
224.0,176.0
224.0,176.0
229.0,176.0
213.0,176.0
209.0,176.0
210.0,176.0
215.0,176.0
221.0,176.0
216.0,176.0
216.0,176.0
220.0,176.0
237.0,176.0
232.0,176.0
233.0,176.0
237.0,176.0
212.0,176.0
229.0,176.0
229.0,176.0
233.0,176.0
232.0,176.0
221.0,176.0
222.0,176.0
227.0,176.0
235.0,176.0
220.0,176.0
220.0,176.0
225.0,176.0
219.0,198.0
217.0,198.0
218.0,198.0
223.0,198.0
230.0,198.0
219.0,198.0
219.0,198.0
223.0,198.0
207.0,198.0
203.0,198.0
204.0,198.0
209.0,198.0
215.0,198.0
210.0,198.0
210.0,198.0
215.0,198.0
233.0,198.0
227.0,198.0
228.0,198.0
233.0,198.0
207.0,198.0
224.0,198.0
224.0,198.0
228.0,198.0
227.0,198.0
216.0,198.0
218.0,198.0
221.0,198.0
233.0,198.0
215.0,198.0
216.0,198.0
220.0,198.0
216.0,220.0
214.0,220.0
214.0,220.0
220.0,220.0
225.0,220.0
215.0,220.0
215.0,220.0
221.0,220.0
203.0,220.0
198.0,220.0
199.0,220.0
204.0,220.0
210.0,220.0
205.0,220.0
206.0,220.0
210.0,220.0
229.0,220.0
222.0,220.0
224.0,220.0
227.0,220.0
201.0,220.0
219.0,220.0
219.0,220.0
223.0,220.0
221.0,220.0
211.0,220.0
212.0,220.0
216.0,220.0
227.0,220.0
211.0,220.0
211.0,220.0
215.0,220.0
211.0,242.0
210.0,242.0
210.0,242.0
215.0,242.0
221.0,242.0
210.0,242.0
210.0,242.0
215.0,242.0
197.0,242.0
192.0,242.0
193.0,242.0
199.0,242.0
206.0,242.0
200.0,242.0
201.0,242.0
206.0,242.0
225.0,242.0
219.0,242.0
220.0,242.0
224.0,242.0
196.0,242.0
216.0,242.0
216.0,242.0
220.0,242.0
217.0,242.0
207.0,242.0
208.0,242.0
212.0,242.0
225.0,242.0
207.0,242.0
207.0,242.0
212.0,242.0
207.0,265.0
206.0,265.0
208.0,265.0
212.0,265.0
218.0,265.0
206.0,265.0
207.0,265.0
211.0,265.0
193.0,265.0
188.0,265.0
190.0,265.0
194.0,265.0
202.0,265.0
196.0,265.0
197.0,265.0
202.0,265.0
223.0,265.0
217.0,265.0
217.0,265.0
222.0,265.0
191.0,265.0
211.0,265.0
213.0,265.0
217.0,265.0
213.0,265.0
204.0,265.0
204.0,265.0
209.0,265.0
221.0,265.0
204.0,265.0
204.0,265.0
209.0,265.0
204.0,286.0
204.0,286.0
205.0,286.0
210.0,286.0
215.0,286.0
203.0,286.0
204.0,286.0
209.0,286.0
189.0,286.0
185.0,286.0
186.0,286.0
191.0,286.0
199.0,286.0
192.0,286.0
193.0,286.0
198.0,286.0
221.0,286.0
214.0,286.0
215.0,286.0
219.0,286.0
188.0,286.0
208.0,286.0
208.0,286.0
213.0,286.0
208.0,286.0
199.0,286.0
199.0,286.0
204.0,286.0
219.0,286.0
199.0,286.0
200.0,286.0
205.0,286.0
200.0,309.0
200.0,309.0
201.0,309.0
207.0,309.0
212.0,309.0
200.0,309.0
201.0,309.0
205.0,309.0
184.0,309.0
180.0,309.0
182.0,309.0
187.0,309.0
195.0,309.0
188.0,309.0
189.0,309.0
194.0,309.0
219.0,309.0
212.0,309.0
212.0,309.0
217.0,309.0
184.0,309.0
205.0,309.0
206.0,309.0
210.0,309.0
204.0,309.0
196.0,309.0
196.0,309.0
201.0,309.0
217.0,309.0
196.0,309.0
196.0,309.0
202.0,309.0
198.0,331.0
198.0,331.0
199.0,331.0
204.0,331.0
210.0,331.0
197.0,331.0
198.0,331.0
203.0,331.0
181.0,331.0
177.0,331.0
178.0,331.0
183.0,331.0
192.0,331.0
185.0,331.0
186.0,331.0
191.0,331.0
217.0,331.0
209.0,331.0
211.0,331.0
215.0,331.0
182.0,331.0
203.0,331.0
203.0,331.0
207.0,331.0
201.0,331.0
193.0,331.0
194.0,331.0
199.0,331.0
216.0,331.0
194.0,331.0
195.0,331.0
199.0,331.0
196.0,353.0
196.0,353.0
197.0,353.0
202.0,353.0
207.0,353.0
195.0,353.0
197.0,353.0
201.0,353.0
178.0,353.0
175.0,353.0
176.0,353.0
181.0,353.0
190.0,353.0
184.0,353.0
184.0,353.0
189.0,353.0
215.0,353.0
208.0,353.0
209.0,353.0
213.0,353.0
179.0,353.0
200.0,353.0
201.0,353.0
206.0,353.0
197.0,353.0
190.0,353.0
191.0,353.0
196.0,353.0
214.0,353.0
191.0,353.0
192.0,353.0
197.0,353.0
194.0,375.0
194.0,375.0
195.0,375.0
200.0,375.0
205.0,375.0
193.0,375.0
194.0,375.0
199.0,375.0
174.0,375.0
172.0,375.0
172.0,375.0
178.0,375.0
187.0,375.0
180.0,375.0
182.0,375.0
186.0,375.0
214.0,375.0
206.0,375.0
207.0,375.0
212.0,375.0
176.0,375.0
198.0,375.0
198.0,375.0
204.0,375.0
193.0,375.0
186.0,375.0
188.0,375.0
193.0,375.0
212.0,375.0
188.0,375.0
189.0,375.0
194.0,375.0
193.0,398.0
192.0,398.0
194.0,398.0
199.0,398.0
203.0,398.0
190.0,398.0
192.0,398.0
197.0,398.0
171.0,398.0
169.0,398.0
169.0,398.0
175.0,398.0
184.0,398.0
177.0,398.0
178.0,398.0
183.0,398.0
214.0,398.0
204.0,398.0
205.0,398.0
210.0,398.0
174.0,398.0
196.0,398.0
197.0,398.0
202.0,398.0
190.0,398.0
184.0,398.0
185.0,398.0
190.0,398.0
211.0,398.0
186.0,398.0
187.0,398.0
191.0,398.0
191.0,419.0
192.0,419.0
193.0,419.0
197.0,419.0
201.0,419.0
189.0,419.0
190.0,419.0
195.0,419.0
168.0,419.0
166.0,419.0
166.0,419.0
172.0,419.0
181.0,419.0
176.0,419.0
176.0,419.0
182.0,419.0
212.0,419.0
205.0,419.0
204.0,419.0
209.0,419.0
172.0,419.0
195.0,419.0
196.0,419.0
200.0,419.0
187.0,419.0
181.0,419.0
183.0,419.0
187.0,419.0
209.0,419.0
184.0,419.0
185.0,419.0
190.0,419.0
190.0,442.0
192.0,442.0
192.0,442.0
196.0,442.0
200.0,442.0
188.0,442.0
188.0,442.0
193.0,442.0
165.0,442.0
163.0,442.0
164.0,442.0
169.0,442.0
179.0,442.0
172.0,442.0
173.0,442.0
178.0,442.0
211.0,442.0
202.0,442.0
203.0,442.0
207.0,442.0
169.0,442.0
192.0,442.0
193.0,442.0
198.0,442.0
184.0,442.0
180.0,442.0
180.0,442.0
185.0,442.0
209.0,442.0
183.0,442.0
184.0,442.0
189.0,442.0
187.0,464.0
188.0,464.0
190.0,464.0
194.0,464.0
199.0,464.0
186.0,464.0
187.0,464.0
191.0,464.0
162.0,464.0
161.0,464.0
162.0,464.0
167.0,464.0
177.0,464.0
170.0,464.0
171.0,464.0
175.0,464.0
211.0,464.0
202.0,464.0
203.0,464.0
207.0,464.0
168.0,464.0
192.0,464.0
192.0,464.0
197.0,464.0
181.0,464.0
178.0,464.0
178.0,464.0
183.0,464.0
208.0,464.0
180.0,464.0
181.0,464.0
187.0,464.0
186.0,486.0
186.0,486.0
188.0,486.0
193.0,486.0
197.0,486.0
185.0,486.0
185.0,486.0
190.0,486.0
159.0,486.0
158.0,486.0
160.0,486.0
164.0,486.0
175.0,486.0
168.0,486.0
168.0,486.0
173.0,486.0
210.0,486.0
200.0,486.0
202.0,486.0
206.0,486.0
167.0,486.0
190.0,486.0
191.0,486.0
195.0,486.0
179.0,486.0
176.0,486.0
176.0,486.0
181.0,486.0
207.0,486.0
178.0,486.0
179.0,486.0
184.0,486.0
184.0,509.0
187.0,509.0
187.0,509.0
193.0,509.0
196.0,509.0
184.0,509.0
184.0,509.0
189.0,509.0
156.0,509.0
156.0,509.0
156.0,509.0
162.0,509.0
173.0,509.0
165.0,509.0
166.0,509.0
171.0,509.0
208.0,509.0
200.0,509.0
201.0,509.0
205.0,509.0
165.0,509.0
188.0,509.0
189.0,509.0
194.0,509.0
175.0,509.0
174.0,509.0
174.0,509.0
179.0,509.0
206.0,509.0
178.0,509.0
178.0,509.0
183.0,509.0
183.0,531.0
185.0,531.0
186.0,531.0
191.0,531.0
194.0,531.0
182.0,531.0
182.0,531.0
188.0,531.0
153.0,531.0
153.0,531.0
154.0,531.0
159.0,531.0
170.0,531.0
164.0,531.0
164.0,531.0
170.0,531.0
207.0,531.0
199.0,531.0
200.0,531.0
205.0,531.0
163.0,531.0
188.0,531.0
188.0,531.0
193.0,531.0
173.0,531.0
171.0,531.0
172.0,531.0
177.0,531.0
207.0,531.0
176.0,531.0
176.0,531.0
182.0,531.0
182.0,553.0
184.0,553.0
185.0,553.0
191.0,553.0
193.0,553.0
181.0,553.0
182.0,553.0
187.0,553.0
151.0,553.0
152.0,553.0
152.0,553.0
158.0,553.0
168.0,553.0
162.0,553.0
163.0,553.0
167.0,553.0
207.0,553.0
198.0,553.0
199.0,553.0
204.0,553.0
162.0,553.0
187.0,553.0
187.0,553.0
193.0,553.0
171.0,553.0
171.0,553.0
170.0,553.0
176.0,553.0
206.0,553.0
176.0,553.0
176.0,553.0
182.0,553.0
182.0,575.0
184.0,575.0
186.0,575.0
190.0,575.0
192.0,575.0
180.0,575.0
182.0,575.0
187.0,575.0
150.0,575.0
150.0,575.0
151.0,575.0
156.0,575.0
167.0,575.0
161.0,575.0
161.0,575.0
166.0,575.0
208.0,575.0
198.0,575.0
199.0,575.0
203.0,575.0
161.0,575.0
185.0,575.0
186.0,575.0
191.0,575.0
169.0,575.0
168.0,575.0
168.0,575.0
173.0,575.0
205.0,575.0
174.0,575.0
175.0,575.0
179.0,575.0
181.0,598.0
184.0,598.0
185.0,598.0
190.0,598.0
191.0,598.0
179.0,598.0
180.0,598.0
185.0,598.0
147.0,598.0
148.0,598.0
148.0,598.0
153.0,598.0
165.0,598.0
158.0,598.0
159.0,598.0
164.0,598.0
207.0,598.0
198.0,598.0
198.0,598.0
203.0,598.0
159.0,598.0
184.0,598.0
185.0,598.0
190.0,598.0
166.0,598.0
166.0,598.0
167.0,598.0
172.0,598.0
205.0,598.0
173.0,598.0
174.0,598.0
179.0,598.0
180.0,619.0
182.0,619.0
184.0,619.0
189.0,619.0
190.0,619.0
178.0,619.0
179.0,619.0
184.0,619.0
144.0,619.0
146.0,619.0
146.0,619.0
151.0,619.0
163.0,619.0
156.0,619.0
157.0,619.0
162.0,619.0
206.0,619.0
196.0,619.0
197.0,619.0
202.0,619.0
158.0,619.0
183.0,619.0
184.0,619.0
189.0,619.0
164.0,619.0
165.0,619.0
165.0,619.0
170.0,619.0
205.0,619.0
172.0,619.0
173.0,619.0
178.0,619.0
179.0,642.0
182.0,642.0
183.0,642.0
188.0,642.0
190.0,642.0
178.0,642.0
178.0,642.0
183.0,642.0
142.0,642.0
144.0,642.0
144.0,642.0
151.0,642.0
162.0,642.0
155.0,642.0
155.0,642.0
161.0,642.0
206.0,642.0
197.0,642.0
198.0,642.0
202.0,642.0
158.0,642.0
182.0,642.0
183.0,642.0
188.0,642.0
162.0,642.0
163.0,642.0
164.0,642.0
169.0,642.0
204.0,642.0
170.0,642.0
171.0,642.0
177.0,642.0
178.0,664.0
180.0,664.0
181.0,664.0
187.0,664.0
188.0,664.0
176.0,664.0
178.0,664.0
183.0,664.0
140.0,664.0
142.0,664.0
142.0,664.0
149.0,664.0
161.0,664.0
153.0,664.0
154.0,664.0
159.0,664.0
206.0,664.0
196.0,664.0
198.0,664.0
203.0,664.0
157.0,664.0
182.0,664.0
182.0,664.0
188.0,664.0
159.0,664.0
162.0,664.0
162.0,664.0
167.0,664.0
203.0,664.0
169.0,664.0
170.0,664.0
175.0,664.0
178.0,686.0
180.0,686.0
181.0,686.0
187.0,686.0
188.0,686.0
177.0,686.0
177.0,686.0
182.0,686.0
137.0,686.0
140.0,686.0
140.0,686.0
146.0,686.0
159.0,686.0
151.0,686.0
152.0,686.0
157.0,686.0
205.0,686.0
196.0,686.0
197.0,686.0
201.0,686.0
156.0,686.0
181.0,686.0
182.0,686.0
187.0,686.0
157.0,686.0
160.0,686.0
160.0,686.0
165.0,686.0
203.0,686.0
168.0,686.0
169.0,686.0
175.0,686.0
177.0,708.0
180.0,708.0
181.0,708.0
186.0,708.0
186.0,708.0
175.0,708.0
176.0,708.0
181.0,708.0
135.0,708.0
139.0,708.0
139.0,708.0
145.0,708.0
158.0,708.0
150.0,708.0
151.0,708.0
156.0,708.0
206.0,708.0
196.0,708.0
197.0,708.0
201.0,708.0
157.0,708.0
181.0,708.0
180.0,708.0
186.0,708.0
155.0,708.0
158.0,708.0
158.0,708.0
164.0,708.0
203.0,708.0
168.0,708.0
169.0,708.0
174.0,708.0
177.0,731.0
180.0,731.0
181.0,731.0
186.0,731.0
186.0,731.0
174.0,731.0
176.0,731.0
181.0,731.0
133.0,731.0
136.0,731.0
137.0,731.0
143.0,731.0
156.0,731.0
148.0,731.0
149.0,731.0
155.0,731.0
205.0,731.0
196.0,731.0
196.0,731.0
201.0,731.0
155.0,731.0
180.0,731.0
180.0,731.0
186.0,731.0
154.0,731.0
156.0,731.0
157.0,731.0
163.0,731.0
203.0,731.0
167.0,731.0
168.0,731.0
173.0,731.0
176.0,752.0
179.0,752.0
181.0,752.0
186.0,752.0
186.0,752.0
175.0,752.0
176.0,752.0
181.0,752.0
131.0,752.0
135.0,752.0
136.0,752.0
142.0,752.0
155.0,752.0
146.0,752.0
148.0,752.0
153.0,752.0
205.0,752.0
195.0,752.0
196.0,752.0
200.0,752.0
155.0,752.0
179.0,752.0
180.0,752.0
185.0,752.0
151.0,752.0
156.0,752.0
156.0,752.0
162.0,752.0
203.0,752.0
167.0,752.0
168.0,752.0
173.0,752.0
175.0,775.0
180.0,775.0
181.0,775.0
186.0,775.0
185.0,775.0
175.0,775.0
175.0,775.0
180.0,775.0
130.0,775.0
133.0,775.0
134.0,775.0
140.0,775.0
153.0,775.0
144.0,775.0
147.0,775.0
152.0,775.0
206.0,775.0
196.0,775.0
197.0,775.0
201.0,775.0
155.0,775.0
179.0,775.0
180.0,775.0
185.0,775.0
150.0,775.0
155.0,775.0
155.0,775.0
160.0,775.0
203.0,775.0
166.0,775.0
167.0,775.0
172.0,775.0
176.0,797.0
181.0,797.0
182.0,797.0
186.0,797.0
186.0,797.0
174.0,797.0
174.0,797.0
179.0,797.0
127.0,797.0
131.0,797.0
132.0,797.0
138.0,797.0
151.0,797.0
144.0,797.0
144.0,797.0
150.0,797.0
205.0,797.0
195.0,797.0
196.0,797.0
201.0,797.0
154.0,797.0
178.0,797.0
179.0,797.0
184.0,797.0
148.0,797.0
153.0,797.0
153.0,797.0
159.0,797.0
203.0,797.0
165.0,797.0
166.0,797.0
173.0,797.0
175.0,819.0
178.0,819.0
180.0,819.0
185.0,819.0
184.0,819.0
173.0,819.0
173.0,819.0
179.0,819.0
125.0,819.0
130.0,819.0
131.0,819.0
137.0,819.0
150.0,819.0
142.0,819.0
143.0,819.0
149.0,819.0
204.0,819.0
195.0,819.0
196.0,819.0
201.0,819.0
153.0,819.0
178.0,819.0
178.0,819.0
183.0,819.0
146.0,819.0
152.0,819.0
152.0,819.0
158.0,819.0
203.0,819.0
165.0,819.0
165.0,819.0
171.0,819.0
174.0,841.0
178.0,841.0
179.0,841.0
185.0,841.0
183.0,841.0
173.0,841.0
173.0,841.0
178.0,841.0
123.0,841.0
128.0,841.0
129.0,841.0
135.0,841.0
149.0,841.0
141.0,841.0
141.0,841.0
147.0,841.0
204.0,841.0
194.0,841.0
195.0,841.0
201.0,841.0
153.0,841.0
178.0,841.0
178.0,841.0
184.0,841.0
144.0,841.0
152.0,841.0
152.0,841.0
157.0,841.0
203.0,841.0
164.0,841.0
165.0,841.0
170.0,841.0
175.0,864.0
178.0,864.0
180.0,864.0
184.0,864.0
184.0,864.0
173.0,864.0
174.0,864.0
179.0,864.0
122.0,864.0
128.0,864.0
128.0,864.0
134.0,864.0
149.0,864.0
140.0,864.0
141.0,864.0
146.0,864.0
204.0,864.0
194.0,864.0
196.0,864.0
200.0,864.0
154.0,864.0
177.0,864.0
178.0,864.0
183.0,864.0
143.0,864.0
149.0,864.0
